2019-11-22 19:28:47,b'RT @ARKInvest: \xf0\x9f\x94\x94Media Alert\xf0\x9f\x94\x94 Analyst @TashaARK will join @JenSaidIt on @YahooFinance today at 3:30 p.m. ET to discuss the $TSLA #Cybertruck\xe2\x80\xa6'
2019-11-22 19:28:47,"b""RT @Qrypton: When @elonmusk told ya'll the truck would look like something out of Blade Runner ya'll thought he was playing. #Tesla #Cybert\xe2\x80\xa6"""
2019-11-22 19:28:47,"b'RT @tictoc: Tesla\'s demo of its first electric pickup didn\'t go quite according to plan. The ""Tesla armor glass"" windows shattered when hit\xe2\x80\xa6'"
2019-11-22 19:28:46,"b'RT @BinanceAmerica: Hey @elonmusk, couple of questions on the #CyberTruck!\n\n1. Will deliveries to Mars be included? (We were thinking about\xe2\x80\xa6'"
2019-11-22 19:28:45,b'RT @SteveFowler: Bloody hell. @tesla Cybertruck. #Cybertruck https://t.co/IVYIPKEPVL'
2019-11-22 19:28:43,b'RT @GTASeries: I knew I saw the Tesla #Cybertruck somewhere before https://t.co/LygVYqFskJ'
2019-11-22 19:28:43,"b""RT @nichegamer: Strap in, soldier.\nWe're finishing this fight! \n#Cybertruck https://t.co/YI3COiYkbF"""
2019-11-22 19:28:43,"b""@SnazzyQ Where are the autopilot cameras on the #cybertruck? I didn't see anything obvious on the demo trucks or on\xe2\x80\xa6 https://t.co/flbnmVWEXg"""
2019-11-22 19:28:41,b'RT @safelite: Actual photo of us replacing the #Cybertruck windows https://t.co/ywtuhZL9wa'
2019-11-22 19:28:41,b'@elonmusk @Tesla has a great car on its hands. But the pyramid like apex is a bit too much for most to handle. Even\xe2\x80\xa6 https://t.co/SKu50At0u4'
